iid,id,gender,idg,condtn,wave,round,position,positin1,order,partner,pid,match,int_corr,samerace,age_o,race_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,dec_o,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,like_o,prob_o,met_o,age,field,field_cd,undergra,mn_sat,tuition,race,imprace,imprelig,from,zipcode,income,goal,date,go_out,career,career_c,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,expnum,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr4_1,sinc4_1,intel4_1,fun4_1,amb4_1,shar4_1,attr2_1,sinc2_1,intel2_1,fun2_1,amb2_1,shar2_1,attr3_1,sinc3_1,fun3_1,intel3_1,amb3_1,attr5_1,sinc5_1,intel5_1,fun5_1,amb5_1,dec,attr,sinc,intel,fun,amb,shar,like,prob,met,match_es,attr1_s,sinc1_s,intel1_s,fun1_s,amb1_s,shar1_s,attr3_s,sinc3_s,intel3_s,fun3_s,amb3_s,satis_2,length,numdat_2,attr7_2,sinc7_2,intel7_2,fun7_2,amb7_2,shar7_2,attr1_2,sinc1_2,intel1_2,fun1_2,amb1_2,shar1_2,attr4_2,sinc4_2,intel4_2,fun4_2,amb4_2,shar4_2,attr2_2,sinc2_2,intel2_2,fun2_2,amb2_2,shar2_2,attr3_2,sinc3_2,intel3_2,fun3_2,amb3_2,attr5_2,sinc5_2,intel5_2,fun5_2,amb5_2,you_call,them_cal,date_3,numdat_3,num_in_3,attr1_3,sinc1_3,intel1_3,fun1_3,amb1_3,shar1_3,attr7_3,sinc7_3,intel7_3,fun7_3,amb7_3,shar7_3,attr4_3,sinc4_3,intel4_3,fun4_3,amb4_3,shar4_3,attr2_3,sinc2_3,intel2_3,fun2_3,amb2_3,shar2_3,attr3_3,sinc3_3,intel3_3,fun3_3,amb3_3,attr5_3,sinc5_3,intel5_3,fun5_3,amb5_3,field_cd_name
176,3.0,Female,5,1,8,10,7,7.0,5,1,184.0,1,0.48,0,34.0,2.0,16.67,16.67,16.67,16.67,16.67,16.67,1,10.0,10.0,10.0,7.0,10.0,6.0,9.0,7.0,2.0,28.0,MBA,8.0,,,,Asian_American,10.0,1.0,California,"92,602",,2.0,6.0,3.0,Finance,7.0,7.0,6.0,5.0,10.0,10.0,9.0,7.0,4.0,4.0,5.0,5.0,8.0,8.0,8.0,8.0,6.0,3.0,7.0,,13.04,21.74,19.57,17.39,15.22,13.04,8.0,9.0,8.0,8.0,7.0,6.0,18.75,18.75,16.67,18.75,12.5,14.58,6.0,9.0,7.0,8.0,6.0,,,,,,1,7.0,7.0,8.0,6.0,7.0,5.0,6.0,3.0,2.0,4.0,16.28,20.93,18.6,16.28,11.63,16.28,7.0,8.0,8.0,5.0,5.0,3.0,3.0,1.0,,,,,,,15.91,20.45,18.18,15.91,13.64,15.91,8.0,8.0,7.0,7.0,7.0,7.0,19.57,17.39,15.22,17.39,13.04,17.39,7.0,8.0,8.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Business/Econ/Finances
177,4.0,Female,7,1,8,10,4,4.0,2,1,184.0,0,0.07,1,34.0,2.0,16.67,16.67,16.67,16.67,16.67,16.67,0,8.0,10.0,10.0,10.0,10.0,10.0,9.0,8.0,2.0,22.0,international affairs/international finance,13.0,,,,Caucasian_American,8.0,3.0,"San Diego, CA","92,120","47,997.00",2.0,5.0,2.0,management consulting,7.0,5.0,9.0,6.0,8.0,6.0,4.0,2.0,3.0,7.0,9.0,7.0,6.0,7.0,3.0,4.0,5.0,1.0,6.0,,15.09,16.98,16.98,16.98,18.87,15.09,10.0,7.0,5.0,6.0,6.0,6.0,25.0,15.0,15.0,17.5,12.5,15.0,9.0,9.0,8.0,9.0,9.0,,,,,,1,5.0,7.0,7.0,5.0,6.0,5.0,6.0,5.0,2.0,2.0,16.0,16.0,18.0,18.0,20.0,12.0,9.0,7.5,9.0,8.0,9.0,6.0,3.0,1.0,,,,,,,16.98,16.98,16.98,15.09,18.87,15.09,7.0,8.0,6.0,7.0,6.0,7.0,24.32,18.92,13.51,16.22,10.81,16.22,9.0,8.0,9.0,8.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Political Science/International Affairs 
178,5.0,Female,9,1,8,10,8,8.0,6,1,184.0,0,0.64,0,34.0,2.0,16.67,16.67,16.67,16.67,16.67,16.67,1,8.0,10.0,10.0,8.0,9.0,7.0,8.0,6.0,2.0,35.0,Health policy,3.0,,,,Asian_American,5.0,5.0,New York,,,2.0,4.0,2.0,health policy,4.0,3.0,4.0,7.0,9.0,8.0,8.0,8.0,2.0,9.0,8.0,8.0,8.0,8.0,8.0,9.0,6.0,8.0,5.0,,15.22,17.39,17.39,17.39,15.22,17.39,9.0,5.0,7.0,9.0,5.0,8.0,22.73,11.36,11.36,18.18,18.18,18.18,9.0,9.0,7.0,8.0,7.0,,,,,,0,5.0,7.0,7.0,5.0,,4.0,7.0,2.0,1.0,4.0,17.07,17.07,17.07,17.07,14.63,17.07,9.0,8.0,7.0,6.0,7.0,6.0,3.0,3.0,,,,,,,17.02,17.02,17.02,17.02,14.89,17.02,7.0,8.0,8.0,8.0,8.0,8.0,27.03,13.51,13.51,18.92,8.11,18.92,9.0,9.0,9.0,7.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Social Science/Psychologist
179,6.0,Female,11,1,8,10,9,9.0,7,1,184.0,0,0.38,0,34.0,2.0,16.67,16.67,16.67,16.67,16.67,16.67,1,10.0,10.0,10.0,10.0,10.0,5.0,8.0,5.0,2.0,30.0,English and Comp Lit,6.0,,,,Hispanic_American,5.0,1.0,California,"91,011","78,704.00",1.0,6.0,3.0,academics,2.0,5.0,5.0,10.0,10.0,7.0,7.0,5.0,1.0,7.0,10.0,1.0,8.0,8.0,7.0,9.0,10.0,9.0,2.0,,19.15,21.28,17.02,17.02,12.77,12.77,7.0,10.0,8.0,7.0,6.0,9.0,22.73,13.64,18.18,22.73,11.36,11.36,8.0,10.0,6.0,8.0,10.0,,,,,,0,3.0,7.0,6.0,4.0,6.0,7.0,2.0,5.0,2.0,1.0,19.05,16.67,19.05,16.67,16.67,11.9,7.0,10.0,8.0,7.0,10.0,1.0,1.0,3.0,,,,,,,18.75,18.75,18.75,16.67,14.58,12.5,7.0,9.0,8.0,7.0,7.0,9.0,21.28,12.77,12.77,21.28,12.77,19.15,7.0,10.0,9.0,7.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English/Creative Writing/Journalism
180,7.0,Female,13,1,8,10,2,2.0,10,1,184.0,1,0.24,0,34.0,2.0,16.67,16.67,16.67,16.67,16.67,16.67,1,10.0,9.0,8.0,8.0,9.0,9.0,6.0,6.0,2.0,24.0,international finance and business,8.0,,,,Asian_American,2.0,2.0,taiwan,"8,820",,6.0,4.0,2.0,financial service or fashion,7.0,7.0,7.0,5.0,9.0,5.0,5.0,8.0,5.0,9.0,6.0,7.0,9.0,9.0,7.0,8.0,9.0,7.0,6.0,,15.38,17.31,17.31,19.23,13.46,17.31,8.0,8.0,6.0,7.0,5.0,7.0,18.6,18.6,11.63,23.26,11.63,16.28,9.0,9.0,10.0,9.0,9.0,,,,,,1,7.0,8.0,7.0,8.0,7.0,6.0,8.0,8.0,2.0,,15.22,17.39,17.39,19.57,15.22,15.22,8.0,6.0,7.0,7.0,6.0,7.0,1.0,1.0,,,,,,,17.02,19.15,17.02,21.28,12.77,12.77,8.0,8.0,7.0,10.0,5.0,7.0,21.95,14.63,14.63,24.39,12.2,12.2,9.0,8.0,8.0,9.0,6.0,,,,,,0.0,1.0,1.0,1.0,,14.55,18.18,18.18,18.18,16.36,14.55,,,,,,,10.0,8.0,8.0,8.0,8.0,8.0,10.0,6.0,6.0,8.0,6.0,,9.0,7.0,9.0,9.0,9.0,,,,,,Business/Econ/Finances
181,8.0,Female,15,1,8,10,5,5.0,3,1,184.0,0,0.43,0,34.0,2.0,16.67,16.67,16.67,16.67,16.67,16.67,0,10.0,10.0,10.0,8.0,10.0,9.0,9.0,6.0,2.0,22.0,Sociomedical Sciences- School of Public Health,4.0,,,,African American,7.0,8.0,"Brooklyn, NY","11,217","31,143.00",1.0,5.0,5.0,academic research,2.0,3.0,6.0,5.0,9.0,9.0,9.0,6.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,6.0,4.0,,15.38,19.23,19.23,17.31,17.31,11.54,10.0,7.0,7.0,10.0,9.0,10.0,18.87,11.32,16.98,18.87,16.98,16.98,9.0,9.0,9.0,9.0,9.0,,,,,,1,8.0,9.0,8.0,9.0,10.0,7.0,7.0,7.0,2.0,2.0,15.38,19.23,19.23,19.23,15.38,11.54,8.0,10.0,10.0,10.0,10.0,7.0,1.0,2.0,,,,,,,15.69,19.61,17.65,15.69,17.65,13.73,10.0,9.0,8.0,8.0,8.0,8.0,22.73,11.36,11.36,22.73,18.18,13.64,9.0,9.0,9.0,9.0,9.0,,,,,,0.0,0.0,0.0,,,15.38,17.31,19.23,13.46,19.23,15.38,,,,,,,9.0,7.0,7.0,9.0,7.0,9.0,10.0,6.0,6.0,10.0,6.0,,9.0,9.0,9.0,9.0,12.0,,,,,,Medical/Pharmaceuticals/Biotech
182,9.0,Female,17,1,8,10,6,6.0,4,1,184.0,0,-0.34,0,34.0,2.0,16.67,16.67,16.67,16.67,16.67,16.67,0,8.0,10.0,10.0,8.0,9.0,6.0,7.0,5.0,2.0,22.0,Epidemiology,4.0,,,,African American,7.0,5.0,New Jersey,"8,904",,1.0,4.0,3.0,Epidemiologist,4.0,5.0,6.0,2.0,8.0,3.0,2.0,1.0,4.0,1.0,7.0,8.0,2.0,6.0,4.0,10.0,8.0,1.0,6.0,,16.07,17.86,17.86,17.86,17.86,12.5,10.0,6.0,9.0,8.0,8.0,4.0,19.23,15.38,15.38,17.31,15.38,17.31,8.0,8.0,8.0,8.0,10.0,,,,,,1,7.0,8.0,8.0,8.0,9.0,8.0,8.0,6.0,2.0,2.0,14.0,18.0,20.0,18.0,18.0,12.0,8.0,8.0,9.0,10.0,9.0,6.0,1.0,3.0,,,,,,,14.29,16.33,18.37,18.37,18.37,14.29,8.0,7.0,7.0,8.0,7.0,7.0,20.0,15.56,15.56,17.78,15.56,15.56,8.0,8.0,9.0,9.0,9.0,,,,,,0.0,0.0,0.0,,,16.67,16.67,16.67,16.67,16.67,16.67,,,,,,,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,8.0,8.0,8.0,8.0,8.0,,,,,,Medical/Pharmaceuticals/Biotech
183,10.0,Female,19,1,8,10,3,3.0,1,1,184.0,1,0.28,1,34.0,2.0,16.67,16.67,16.67,16.67,16.67,16.67,1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,2.0,24.0,Social work,11.0,,,,Caucasian_American,1.0,1.0,Uzbekistan,"703,007",,1.0,7.0,3.0,boxing champ,6.0,9.0,6.0,8.0,9.0,8.0,8.0,9.0,9.0,9.0,7.0,8.0,8.0,9.0,9.0,10.0,8.0,1.0,5.0,,20.0,22.5,17.5,22.5,10.0,7.5,6.0,9.0,9.0,8.0,7.0,6.0,23.68,21.05,13.16,23.68,15.79,2.63,9.0,7.0,9.0,9.0,7.0,,,,,,1,8.0,9.0,9.0,7.0,6.0,9.0,7.0,9.0,2.0,5.0,14.0,18.0,18.0,18.0,16.0,16.0,9.0,9.0,8.0,8.0,8.0,5.0,3.0,3.0,,,,,,,14.89,17.02,17.02,17.02,17.02,17.02,9.0,9.0,9.0,9.0,9.0,9.0,16.67,16.67,16.67,16.67,16.67,16.67,9.0,8.0,8.0,9.0,8.0,,,,,,0.0,1.0,0.0,,,16.67,16.67,16.67,16.67,16.67,16.67,,,,,,,8.0,8.0,8.0,8.0,8.0,6.0,9.0,8.0,7.0,8.0,8.0,,8.0,8.0,8.0,8.0,8.0,,,,,,Social work
184,1.0,Male,2,1,8,10,1,3.0,9,1,174.0,1,0.34,0,29.0,4.0,9.52,23.81,16.67,16.67,16.67,16.67,1,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,34.0,International Business,8.0,,,,Caucasian_American,1.0,1.0,Nebraska,"68,005","32,129.00",2.0,4.0,2.0,International Business,7.0,5.0,2.0,4.0,8.0,8.0,7.0,8.0,3.0,8.0,8.0,3.0,9.0,8.0,5.0,6.0,2.0,8.0,9.0,,16.67,16.67,16.67,16.67,16.67,16.67,8.0,8.0,8.0,8.0,8.0,8.0,16.67,16.67,16.67,16.67,16.67,16.67,6.0,10.0,7.0,9.0,5.0,,,,,,1,8.0,10.0,10.0,8.0,6.0,7.0,7.0,7.0,2.0,2.0,20.83,18.75,20.83,18.75,10.42,10.42,5.0,9.0,8.0,7.0,5.0,9.0,3.0,3.0,,,,,,,20.0,17.78,20.0,17.78,11.11,13.33,10.0,6.0,5.0,9.0,8.0,8.0,16.67,16.67,16.67,16.67,16.67,16.67,6.0,10.0,9.0,7.0,5.0,,,,,,4.0,2.0,1.0,1.0,,17.02,19.15,17.02,17.02,12.77,17.02,,,,,,,8.0,6.0,6.0,8.0,8.0,8.0,8.0,6.0,6.0,8.0,8.0,,6.0,9.0,9.0,7.0,6.0,,,,,,Business/Econ/Finances
185,2.0,Male,4,1,8,10,1,7.0,5,1,174.0,0,0.48,1,29.0,4.0,9.52,23.81,16.67,16.67,16.67,16.67,0,5.0,5.0,5.0,5.0,5.0,,5.0,5.0,2.0,25.0,Statistics,2.0,,,,Asian_American,3.0,4.0,Queens,"8,854",,1.0,7.0,4.0,Paper Back Writer,6.0,8.0,7.0,8.0,8.0,8.0,9.0,6.0,7.0,8.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,6.0,,16.98,15.09,16.98,16.98,18.87,15.09,8.0,10.0,10.0,10.0,10.0,8.0,16.36,18.18,14.55,18.18,18.18,14.55,10.0,10.0,7.0,8.0,8.0,,,,,,0,6.0,6.0,7.0,6.0,5.0,8.0,7.0,9.0,2.0,8.0,19.23,17.31,13.46,19.23,11.54,19.23,8.0,8.0,7.0,10.0,5.0,6.0,3.0,2.0,,,,,,,14.0,16.0,18.0,18.0,18.0,16.0,10.0,8.0,8.0,10.0,7.0,8.0,17.54,17.54,15.79,17.54,17.54,14.04,9.0,8.0,8.0,7.0,7.0,,,,,,0.0,0.0,0.0,,,16.67,16.67,16.67,16.67,16.67,16.67,,,,,,,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,,6.0,6.0,6.0,6.0,6.0,,,,,,Math
186,3.0,Male,6,1,8,10,1,4.0,8,1,174.0,0,0.35,1,29.0,4.0,9.52,23.81,16.67,16.67,16.67,16.67,1,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,24.0,Medical Informatics,5.0,,,,Asian_American,4.0,3.0,Kansas,"66,610","44,195.00",1.0,7.0,3.0,Professor,2.0,5.0,1.0,4.0,9.0,5.0,3.0,6.0,1.0,1.0,6.0,7.0,4.0,7.0,8.0,8.0,6.0,3.0,7.0,,19.44,19.44,22.22,16.67,11.11,11.11,7.0,4.0,6.0,8.0,6.0,4.0,15.79,13.16,21.05,18.42,21.05,10.53,4.0,8.0,4.0,7.0,6.0,,,,,,0,4.0,6.0,6.0,,5.0,,5.0,3.0,2.0,2.0,15.38,20.51,23.08,15.38,12.82,12.82,4.0,9.0,8.0,4.0,6.0,7.0,3.0,3.0,,,,,,,16.67,22.22,25.0,11.11,11.11,13.89,8.0,5.0,5.0,7.0,5.0,8.0,13.16,10.53,21.05,21.05,18.42,15.79,4.0,9.0,7.0,5.0,6.0,,,,,,1.0,0.0,1.0,1.0,,18.92,21.62,21.62,10.81,13.51,13.51,,,,,,,8.0,7.0,5.0,8.0,5.0,7.0,5.0,5.0,7.0,8.0,7.0,,5.0,8.0,8.0,4.0,6.0,,,,,,Engineering
187,4.0,Male,8,1,8,10,1,1.0,1,1,174.0,1,0.71,0,29.0,4.0,9.52,23.81,16.67,16.67,16.67,16.67,1,5.0,5.0,5.0,5.0,5.0,7.0,7.0,8.0,2.0,26.0,"International Finance, Economic Policy",8.0,,,,Caucasian_American,10.0,5.0,nyc,,,2.0,4.0,1.0,finance,7.0,3.0,5.0,10.0,5.0,10.0,10.0,1.0,2.0,1.0,10.0,5.0,8.0,8.0,10.0,10.0,1.0,1.0,6.0,,16.98,16.98,18.87,16.98,13.21,16.98,10.0,6.0,6.0,10.0,2.0,5.0,15.09,18.87,15.09,18.87,18.87,13.21,8.0,9.0,7.0,10.0,7.0,,,,,,1,6.0,8.0,,,,10.0,5.0,9.0,2.0,,19.23,19.23,17.31,13.46,13.46,17.31,9.0,8.0,10.0,8.0,8.0,4.0,3.0,3.0,,,,,,,16.98,16.98,18.87,16.98,13.21,16.98,10.0,8.0,7.0,9.0,6.0,7.0,18.75,18.75,14.58,18.75,12.5,16.67,8.0,9.0,10.0,8.0,8.0,,,,,,0.0,0.0,0.0,,,16.67,18.52,18.52,14.81,14.81,16.67,,,,,,,10.0,9.0,8.0,9.0,7.0,6.0,8.0,10.0,7.0,9.0,8.0,,8.0,9.0,12.0,8.0,8.0,,,,,,Business/Econ/Finances
188,5.0,Male,10,1,8,10,1,2.0,10,1,174.0,0,0.51,0,29.0,4.0,9.52,23.81,16.67,16.67,16.67,16.67,1,5.0,5.0,5.0,5.0,5.0,5.0,7.0,7.0,2.0,21.0,electrical engineering,5.0,,,,Caucasian_American,1.0,1.0,Atlanta,"30,092","46,837.00",2.0,3.0,1.0,academician,2.0,2.0,1.0,5.0,10.0,8.0,8.0,5.0,7.0,5.0,7.0,3.0,5.0,5.0,5.0,7.0,7.0,3.0,6.0,,15.56,11.11,22.22,15.56,20.0,15.56,9.0,7.0,7.0,7.0,7.0,9.0,14.29,14.29,19.05,19.05,19.05,14.29,7.0,5.0,7.0,10.0,10.0,,,,,,0,4.0,5.0,5.0,5.0,5.0,5.0,2.0,1.0,2.0,0.0,11.9,11.9,23.81,16.67,16.67,19.05,7.0,6.0,9.0,7.0,9.0,3.0,1.0,1.0,,,,,,,14.58,14.58,20.83,14.58,18.75,16.67,10.0,6.0,6.0,8.0,6.0,6.0,14.29,16.33,18.37,16.33,20.41,14.29,7.0,6.0,9.0,7.0,9.0,,,,,,0.0,0.0,0.0,,,15.22,15.22,19.57,15.22,17.39,17.39,,,,,,,9.0,6.0,6.0,8.0,6.0,6.0,6.0,8.0,7.0,7.0,8.0,,7.0,6.0,9.0,6.0,8.0,,,,,,Engineering
189,6.0,Male,12,1,8,10,1,8.0,4,1,174.0,0,0.22,0,29.0,4.0,9.52,23.81,16.67,16.67,16.67,16.67,1,5.0,5.0,5.0,5.0,5.0,5.0,7.0,7.0,2.0,27.0,Law and Social Work,1.0,,,,Other,6.0,1.0,Uruguay,"11,500",,1.0,6.0,2.0,Child Rights,9.0,8.0,7.0,8.0,5.0,7.0,7.0,7.0,7.0,7.0,9.0,5.0,7.0,9.0,7.0,8.0,4.0,7.0,5.0,,16.98,16.98,16.98,16.98,16.98,15.09,9.0,7.0,7.0,8.0,7.0,7.0,16.98,16.98,16.98,16.98,16.98,15.09,8.0,8.0,8.0,8.0,9.0,,,,,,0,5.0,8.0,7.0,5.0,5.0,4.0,5.0,7.0,2.0,0.0,16.67,16.67,16.67,16.67,16.67,16.67,8.0,9.0,8.0,8.0,10.0,4.0,3.0,3.0,,,,,,,16.36,16.36,16.36,16.36,16.36,18.18,10.0,7.0,7.0,8.0,7.0,9.0,16.67,16.67,16.67,16.67,16.67,16.67,8.0,8.0,8.0,8.0,9.0,,,,,,0.0,0.0,0.0,,,15.79,17.54,17.54,17.54,15.79,15.79,,,,,,,10.0,7.0,7.0,8.0,6.0,7.0,9.0,9.0,9.0,9.0,9.0,,8.0,9.0,8.0,8.0,9.0,,,,,,Law
190,7.0,Male,14,1,8,10,1,6.0,6,1,174.0,0,0.21,0,29.0,4.0,9.52,23.81,16.67,16.67,16.67,16.67,1,5.0,5.0,6.0,6.0,6.0,6.0,6.0,8.0,2.0,25.0,International Development,13.0,,,,Caucasian_American,1.0,1.0,Azerbaijan,"370,138",,2.0,7.0,3.0,Development work on field in the middle of nowhere,9.0,7.0,7.0,8.0,3.0,2.0,2.0,6.0,5.0,9.0,8.0,2.0,4.0,7.0,9.0,10.0,3.0,1.0,8.0,,15.56,20.0,20.0,20.0,13.33,11.11,9.0,7.0,8.0,9.0,8.0,7.0,12.77,19.15,19.15,19.15,14.89,14.89,7.0,7.0,7.0,7.0,7.0,,,,,,0,5.0,8.0,8.0,8.0,4.0,,4.0,6.0,2.0,5.0,19.57,19.57,17.39,21.74,10.87,10.87,5.0,8.0,5.0,9.0,4.0,6.0,3.0,3.0,,,,,,,18.6,16.28,13.95,23.26,13.95,13.95,9.0,8.0,5.0,7.0,4.0,7.0,14.89,19.15,19.15,17.02,19.15,10.64,6.0,7.0,8.0,9.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Political Science/International Affairs 
191,8.0,Male,16,1,8,10,1,10.0,2,1,174.0,0,0.32,0,29.0,4.0,9.52,23.81,16.67,16.67,16.67,16.67,1,5.0,6.0,5.0,7.0,7.0,6.0,6.0,8.0,2.0,28.0,Business,8.0,,,,Caucasian_American,6.0,1.0,Connecticut,"6,878",,5.0,4.0,2.0,Private Equity,7.0,8.0,1.0,7.0,8.0,6.0,6.0,6.0,1.0,8.0,7.0,3.0,4.0,8.0,4.0,7.0,1.0,7.0,4.0,,20.45,20.45,20.45,18.18,18.18,2.27,8.0,7.0,6.0,5.0,4.0,5.0,9.09,20.45,18.18,15.91,20.45,15.91,7.0,7.0,6.0,7.0,8.0,,,,,,0,5.0,8.0,7.0,6.0,6.0,8.0,5.0,6.0,2.0,4.0,21.28,19.15,19.15,19.15,17.02,4.26,7.0,8.0,8.0,7.0,8.0,5.0,3.0,3.0,,,,,,,21.43,19.05,19.05,19.05,16.67,4.76,9.0,7.0,6.0,6.0,5.0,7.0,13.04,17.39,17.39,15.22,19.57,17.39,7.0,6.0,8.0,7.0,8.0,,,,,,0.0,0.0,0.0,,,20.93,20.93,18.6,18.6,16.28,4.65,,,,,,,9.0,7.0,6.0,7.0,3.0,5.0,7.0,8.0,9.0,8.0,9.0,,7.0,7.0,7.0,7.0,7.0,,,,,,Business/Econ/Finances
192,9.0,Male,18,1,8,10,1,9.0,3,1,174.0,0,-0.03,0,29.0,4.0,9.52,23.81,16.67,16.67,16.67,16.67,1,6.0,5.0,6.0,7.0,7.0,7.0,7.0,8.0,2.0,24.0,Business/Law,8.0,,,,Caucasian_American,2.0,7.0,"Los Angeles, CA","90,210","97,972.00",1.0,6.0,2.0,Investment Management,7.0,7.0,5.0,7.0,7.0,3.0,2.0,6.0,8.0,7.0,9.0,6.0,3.0,6.0,7.0,8.0,4.0,5.0,4.0,,19.57,19.57,15.22,17.39,15.22,13.04,9.0,6.0,5.0,8.0,4.0,6.0,14.0,18.0,14.0,20.0,18.0,16.0,7.0,10.0,9.0,9.0,10.0,,,,,,0,3.0,8.0,8.0,4.0,6.0,3.0,4.0,5.0,2.0,2.0,21.43,16.67,19.05,19.05,14.29,9.52,8.0,7.0,9.0,8.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,23.26,20.93,16.28,20.93,9.3,9.3,,,,,,,10.0,5.0,5.0,10.0,5.0,9.0,8.0,9.0,7.0,10.0,10.0,,8.0,8.0,9.0,9.0,12.0,,,,,,Business/Econ/Finances
193,10.0,Male,20,1,8,10,1,5.0,7,1,174.0,0,0.37,1,29.0,4.0,9.52,23.81,16.67,16.67,16.67,16.67,1,6.0,5.0,6.0,7.0,7.0,7.0,7.0,8.0,2.0,25.0,law,1.0,,,,Asian_American,2.0,2.0,new york city,"11,419","35,960.00",1.0,6.0,2.0,lawyer,1.0,8.0,10.0,7.0,9.0,9.0,8.0,1.0,1.0,4.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,5.0,4.0,,20.93,16.28,23.26,16.28,11.63,11.63,10.0,5.0,5.0,7.0,5.0,3.0,26.32,13.16,13.16,26.32,13.16,7.89,7.0,9.0,5.0,10.0,7.0,,,,,,0,3.0,9.0,7.0,5.0,6.0,6.0,7.0,6.0,2.0,2.0,23.26,20.93,20.93,11.63,11.63,11.63,7.0,9.0,10.0,8.0,9.0,4.0,3.0,1.0,,,,,,,20.93,18.6,18.6,13.95,13.95,13.95,9.0,5.0,6.0,8.0,4.0,5.0,20.93,11.63,13.95,20.93,20.93,11.63,7.0,8.0,10.0,7.0,8.0,,,,,,0.0,0.0,0.0,,,18.6,20.93,18.6,13.95,13.95,13.95,,,,,,,10.0,6.0,6.0,8.0,5.0,5.0,8.0,6.0,5.0,9.0,6.0,,7.0,7.0,12.0,6.0,8.0,,,,,,Law
194,1.0,Female,1,2,9,20,2,2.0,18,1,214.0,0,-0.22,1,23.0,2.0,17.02,21.28,17.02,21.28,14.89,8.51,0,7.0,8.0,6.0,7.0,8.0,3.0,5.0,4.0,2.0,24.0,Clinical Psychology,3.0,,,,Caucasian_American,9.0,9.0,New York,"11,803","65,708.00",3.0,3.0,2.0,Psychologist,3.0,8.0,6.0,6.0,9.0,6.0,6.0,4.0,8.0,7.0,9.0,9.0,6.0,9.0,5.0,7.0,9.0,4.0,7.0,,16.0,16.0,20.0,16.0,18.0,14.0,10.0,7.0,8.0,9.0,7.0,9.0,20.0,12.0,16.0,20.0,14.0,18.0,9.0,10.0,8.0,10.0,10.0,,,,,,1,7.0,8.0,10.0,8.0,10.0,7.0,7.0,5.0,2.0,1.0,18.87,18.87,18.87,13.21,16.98,13.21,10.0,10.0,10.0,8.0,10.0,6.0,1.0,3.0,,,,,,,18.18,18.18,18.18,14.55,18.18,12.73,10.0,8.0,8.0,10.0,9.0,9.0,18.87,13.21,15.09,18.87,15.09,18.87,10.0,10.0,10.0,8.0,10.0,,,,,,0.0,0.0,0.0,,,16.98,18.87,18.87,15.09,16.98,13.21,,,,,,,10.0,7.0,8.0,9.0,9.0,8.0,10.0,7.0,7.0,10.0,8.0,,12.0,12.0,12.0,9.0,12.0,,,,,,Social Science/Psychologist
195,2.0,Female,3,2,9,20,6,6.0,2,1,214.0,0,0.27,1,23.0,2.0,17.02,21.28,17.02,21.28,14.89,8.51,0,9.0,8.0,7.0,7.0,7.0,5.0,7.0,0.0,1.0,27.0,microbiology,10.0,,,,Caucasian_American,3.0,9.0,"Rochester, NY","14,526","49,466.00",1.0,2.0,1.0,professional student,2.0,7.0,6.0,9.0,8.0,5.0,5.0,9.0,9.0,8.0,10.0,1.0,3.0,4.0,3.0,6.0,5.0,1.0,8.0,,15.38,19.23,19.23,19.23,13.46,13.46,7.0,9.0,7.0,9.0,10.0,8.0,22.73,15.91,18.18,18.18,11.36,13.64,9.0,8.0,10.0,10.0,8.0,,,,,,0,8.0,7.0,10.0,8.0,9.0,9.0,10.0,1.0,1.0,6.0,16.67,12.5,20.83,20.83,12.5,16.67,9.0,7.0,10.0,9.0,6.0,8.0,3.0,3.0,,,,,,,16.0,12.0,20.0,18.0,16.0,18.0,9.0,10.0,7.0,8.0,6.0,9.0,20.83,12.5,18.75,18.75,12.5,16.67,9.0,7.0,9.0,8.0,7.0,,,,,,0.0,4.0,1.0,1.0,,15.69,15.69,19.61,17.65,15.69,15.69,,,,,,,8.0,8.0,7.0,8.0,9.0,8.0,9.0,8.0,7.0,8.0,6.0,,8.0,8.0,9.0,9.0,8.0,,,,,,Biological Sciences/Chemistry/Physics
